prospectRank,priorityType,teamId,parentTeam,division,affiliateLevel,affiliateName,firstName,lastName,age,position,currentDisplayOVR,floorDisplay,ceilingDisplay,contact,power,eye,speed,defense,durability,stuff,control,stamina,velocity,movement,workEthic,mentalToughness,leadership,competitiveness,developmentProgram,developmentTrajectory,role,scoutingNote
1,Top Prospect,nym,New York Tycoons,AL_EAST,AA,Albany Blue Chips,Ari,Abarca,22,SS,45,40,75,45,45,40,55,60,45,,,,,,61,60,49,62,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around polished bats, zone control, up-the-middle defense, and marketable high-floor prospects."
10,Top Prospect,nas,Nashville Honky Tonks,AL_WEST,INTERNATIONAL,San Pedro Tonk Academy,Dario,Gallardo,18,RP,30,20,60,20,20,20,25,30,30,35,25,20,50,30,94,84,89,64,velocity,bust_risk,International/rookie upside lottery ticket,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,AAA,Memphis Backbeats,Elias,Nadeau,27,C,45,40,50,45,45,50,35,60,50,,,,,,75,83,73,94,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,AAA,Memphis Backbeats,Fynn,Upton,26,2B,45,40,50,45,40,45,50,65,45,,,,,,86,90,78,70,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,AAA,Memphis Backbeats,Gideon,Cruzado,27,CF,45,40,50,45,40,45,50,65,45,,,,,,58,55,83,83,defense,on_track,Left-handed bench outfield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as left-handed bench outfield depth.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,AAA,Memphis Backbeats,Harlan,Jasso,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,69,62,88,96,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,AA,Knoxville Neon Strings,Isaak,Rinaldi,24,CL,40,35,55,20,20,20,25,30,45,50,40,30,50,50,80,69,44,72,breaking,on_track,Middle-relief shuttle candidate,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as middle-relief shuttle candidate.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,AA,Knoxville Neon Strings,Jalen,Arden,24,RF,40,35,55,40,50,45,35,45,40,,,,,,91,76,49,85,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,A_PLUS,Chattanooga Fretboards,Keon,Hollis,22,SS,35,25,55,35,30,35,40,55,35,,,,,,63,83,54,61,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,A,Murfreesboro Two-Steps,Luca,Osuna,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,74,90,59,74,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,ROOKIE,Music Row Pickers,Mateo,Virelli,19,C,25,20,50,25,25,30,20,40,30,,,,,,85,55,64,87,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,nas,Nashville Honky Tonks,AL_WEST,INTERNATIONAL,San Pedro Tonk Academy,Nolan,Decker,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,25,96,62,69,63,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,mia,Miami Palms,NL_EAST,AA,Key West Crosswinds,Omar,Korman,22,SP,45,40,75,20,20,20,20,30,50,55,45,55,50,60,71,74,81,78,breaking,ahead_of_curve,Top ranked pitching prospect / rotation or leverage upside,"Starter traits with enough pitch mix to stay in a rotation; breaking-ball quality is the carrying skill. Fits the org identity around run prevention, speed, athletic defense, and pitchers who fit the most pitcher-friendly east park."
2,Top Prospect,mia,Miami Palms,NL_EAST,AA,Key West Crosswinds,Pascal,Stellan,23,SP,45,40,65,20,20,20,20,30,50,50,55,55,45,50,85,86,44,93,control,on_track,Impact follow prospect / everyday or rotation path,"Starter traits with enough pitch mix to stay in a rotation; command is the separator. Fits the org identity around run prevention, speed, athletic defense, and pitchers who fit the most pitcher-friendly east park."
3,Top Prospect,mia,Miami Palms,NL_EAST,A_PLUS,Palm Beach Pressure,Quinn,Amador,21,C,40,35,60,40,40,40,30,65,45,,,,,,60,56,56,71,defense,on_track,Scarcity-position prospect / above-average role path,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around run prevention, speed, athletic defense, and pitchers who fit the most pitcher-friendly east park."
4,Top Prospect,mia,Miami Palms,NL_EAST,AA,Key West Crosswinds,Rafael,Hoshino,22,CF,40,35,60,40,40,35,50,60,40,,,,,,74,68,68,86,tools,on_track,Athletic regular upside,Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Best used as athletic regular upside.
5,Top Prospect,mia,Miami Palms,NL_EAST,AAA,Fort Lauderdale Tidewalls,Silas,Otero,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,55,88,80,80,64,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,mia,Miami Palms,NL_EAST,A_PLUS,Palm Beach Pressure,Theo,Yoshida,21,3B,35,25,60,35,55,30,30,40,35,,,,,,63,92,43,79,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,mia,Miami Palms,NL_EAST,A,Naples Rainbands,Ulises,Fenn,20,SS,35,25,55,35,30,35,40,60,35,,,,,,77,62,55,94,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,mia,Miami Palms,NL_EAST,A,Naples Rainbands,Vidal,Montano,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,35,91,74,67,72,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,mia,Miami Palms,NL_EAST,ROOKIE,Little Havana Squalls,Wes,Talbot,19,RF,30,20,60,30,40,35,25,40,30,,,,,,66,86,79,87,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,mia,Miami Palms,NL_EAST,INTERNATIONAL,Santo Domingo Storm Academy,Xavi,Barrow,18,2B,30,20,60,30,25,30,35,55,30,,,,,,80,56,42,65,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,mia,Miami Palms,NL_EAST,AAA,Fort Lauderdale Tidewalls,Yael,Ibarra,27,C,45,40,50,45,45,50,35,65,50,,,,,,61,55,75,95,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,mia,Miami Palms,NL_EAST,AAA,Fort Lauderdale Tidewalls,Zane,Park,26,3B,45,40,50,45,55,50,40,55,45,,,,,,72,62,80,71,fundamentals,on_track,Utility infielder / contact bench bat,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as utility infielder / contact bench bat.
,Depth / Role Player,mia,Miami Palms,NL_EAST,AAA,Fort Lauderdale Tidewalls,Emilio,Zamora,27,LF,45,40,50,45,55,50,40,55,45,,,,,,83,69,85,84,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,mia,Miami Palms,NL_EAST,AAA,Fort Lauderdale Tidewalls,Tomas,Gable,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,50,94,76,90,60,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,mia,Miami Palms,NL_EAST,AA,Key West Crosswinds,Jonas,Novak,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,45,66,83,46,73,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,mia,Miami Palms,NL_EAST,AA,Key West Crosswinds,Milo,Ullman,24,RF,40,35,55,40,50,45,35,50,40,,,,,,77,90,51,86,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,mia,Miami Palms,NL_EAST,A_PLUS,Palm Beach Pressure,Nico,Corvin,22,SS,35,25,55,35,30,35,40,60,35,,,,,,88,55,56,62,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,mia,Miami Palms,NL_EAST,A,Naples Rainbands,Soren,Jovic,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,35,60,62,61,75,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,mia,Miami Palms,NL_EAST,ROOKIE,Little Havana Squalls,Tariq,Rocha,19,C,25,20,50,25,25,30,20,45,30,,,,,,71,69,66,88,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,mia,Miami Palms,NL_EAST,INTERNATIONAL,Santo Domingo Storm Academy,Andre,Zeller,18,SS,25,20,55,25,20,25,30,50,25,,,,,,82,76,71,64,defense,on_track,Academy middle-infield glove project,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as academy middle-infield glove project.
1,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,A_PLUS,Savannah Nectar,Cyrus,Gaitan,21,CF,40,35,75,40,45,35,50,55,40,,,,,,96,88,83,79,tools,ahead_of_curve,Top ranked prospect / potential impact regular,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around high-ceiling bats, twitchy athletes, and young outfielders with real power/speed upside."
2,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,AA,Augusta Stonefruit,Damon,Noriega,23,SS,45,40,65,45,50,40,55,60,45,,,,,,71,58,46,94,tools,on_track,Impact follow prospect / everyday or rotation path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around high-ceiling bats, twitchy athletes, and young outfielders with real power/speed upside."
3,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,A_PLUS,Savannah Nectar,Felix,Wirth,21,SP,40,35,60,20,20,20,20,30,40,45,45,50,45,45,85,70,58,72,refinement,on_track,Scarcity-position prospect / above-average role path,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around high-ceiling bats, twitchy athletes, and young outfielders with real power/speed upside."
4,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,AA,Augusta Stonefruit,Gavin,Easton,22,3B,40,35,60,40,65,35,35,40,40,,,,,,60,82,70,87,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,AAA,Macon Orchard Kings,Hugo,Lark,25,CL,50,45,60,20,20,20,25,30,55,60,50,40,60,60,74,94,82,65,breaking,on_track,Near-ready relief or swingman option,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as near-ready relief or swingman option.
6,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,A_PLUS,Savannah Nectar,Ilya,Sato,21,1B,35,25,60,35,60,30,30,35,35,,,,,,88,64,45,80,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,A,Athens Peach Pitters,Joaquin,Albright,20,2B,35,25,55,35,35,35,40,55,35,,,,,,63,76,57,95,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,A,Athens Peach Pitters,Kaito,Halberg,20,RP,30,20,60,20,20,20,25,30,30,35,25,20,50,30,77,88,69,73,velocity,on_track,Raw arm with starter traits,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as raw arm with starter traits.
9,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,ROOKIE,Decatur Crownlets,Leon,Ortega,19,LF,30,20,60,30,45,35,25,35,30,,,,,,91,58,81,88,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,atl,Atlanta Peach Kings,NL_EAST,INTERNATIONAL,Cartagena Peach Academy,Malik,Yoon,18,SS,30,20,60,30,30,30,35,50,30,,,,,,66,70,44,66,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,AAA,Macon Orchard Kings,Noel,Frost,27,C,45,40,50,45,50,50,35,60,50,,,,,,86,69,77,96,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,AAA,Macon Orchard Kings,Orion,Merritt,26,2B,45,40,50,45,45,45,50,65,45,,,,,,58,76,82,72,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,AAA,Macon Orchard Kings,Pavel,Torres,27,LF,45,40,50,45,60,50,40,50,45,,,,,,69,83,87,85,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,AAA,Macon Orchard Kings,Rey,Briar,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,80,90,43,61,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,AA,Augusta Stonefruit,Santos,Irizarry,24,RP,40,35,55,20,20,20,25,30,45,45,35,30,60,40,91,55,48,74,velocity,on_track,Middle-relief shuttle candidate,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as middle-relief shuttle candidate.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,AA,Augusta Stonefruit,Talen,Pryce,24,RF,40,35,55,40,55,45,35,45,40,,,,,,63,62,53,87,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,A_PLUS,Savannah Nectar,Uri,Yanez,22,SS,35,25,55,35,35,35,40,55,35,,,,,,74,69,58,63,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,A,Athens Peach Pitters,Vaughn,Fujiwara,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,85,76,63,76,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,ROOKIE,Decatur Crownlets,Wade,Matsu,19,C,25,20,50,25,30,30,20,40,30,,,,,,96,83,68,89,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,atl,Atlanta Peach Kings,NL_EAST,INTERNATIONAL,Cartagena Peach Academy,Yuri,Varela,18,RP,25,20,55,20,20,20,25,30,25,30,20,20,45,25,68,90,73,65,velocity,on_track,Academy arm strength project,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as academy arm strength project.
1,Top Prospect,cha,Charlotte Weavers,NL_EAST,AA,Columbia Honeycombs,Zion,Delrio,23,C,45,40,70,45,45,45,35,65,50,,,,,,82,60,85,80,defense,ahead_of_curve,Top ranked prospect / potential impact regular,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around catcher development, defensive versatility, low-chase bats, and steady staff handling."
2,Top Prospect,cha,Charlotte Weavers,NL_EAST,AA,Columbia Honeycombs,Alonzo,Kessler,23,CF,45,40,70,45,45,40,55,60,45,,,,,,96,72,48,95,tools,ahead_of_curve,Impact follow prospect / everyday or rotation path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around catcher development, defensive versatility, low-chase bats, and steady staff handling."
3,Top Prospect,cha,Charlotte Weavers,NL_EAST,A_PLUS,Greenville Hivehands,Bruno,Rosales,21,SS,40,35,60,40,40,35,50,55,40,,,,,,71,84,60,73,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around catcher development, defensive versatility, low-chase bats, and steady staff handling."
4,Top Prospect,cha,Charlotte Weavers,NL_EAST,AA,Columbia Honeycombs,Cassian,Zoric,22,SP,40,35,60,20,20,20,20,30,45,45,40,60,45,40,85,96,72,88,stamina,on_track,Athletic regular upside,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as athletic regular upside.
5,Top Prospect,cha,Charlotte Weavers,NL_EAST,AAA,Greensboro Nestmakers,Diego,Gomes,25,SP,45,40,60,20,20,20,20,30,50,50,45,65,50,45,60,66,84,66,stamina,on_track,Near-ready relief or swingman option,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as near-ready relief or swingman option.
6,Top Prospect,cha,Charlotte Weavers,NL_EAST,A_PLUS,Greenville Hivehands,Enzo,Nystrom,21,LF,35,25,60,35,55,30,30,35,35,,,,,,74,78,47,81,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,cha,Charlotte Weavers,NL_EAST,A,Concord Waxcombs,Franco,Wynn,20,CF,35,25,55,35,30,35,40,55,35,,,,,,88,90,59,96,defense,on_track,Defense/speed development prospect,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense/speed development prospect.
8,Top Prospect,cha,Charlotte Weavers,NL_EAST,A,Concord Waxcombs,Griffin,Espina,20,SP,30,20,60,20,20,20,20,30,30,35,30,50,35,30,63,60,71,74,stamina,on_track,Raw arm with starter traits,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as raw arm with starter traits.
9,Top Prospect,cha,Charlotte Weavers,NL_EAST,ROOKIE,Rock Hill Buzzlets,Hayes,Lofton,19,1B,30,20,60,30,40,35,25,35,30,,,,,,77,72,83,89,fundamentals,bust_risk,Young bat with one loud carrying tool,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as young bat with one loud carrying tool.
10,Top Prospect,cha,Charlotte Weavers,NL_EAST,INTERNATIONAL,San Juan Loom Academy,Ivan,Seldon,18,CF,30,20,60,30,25,30,35,50,30,,,,,,91,84,46,67,defense,bust_risk,International/rookie upside lottery ticket,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as international/rookie upside lottery ticket.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,AAA,Greensboro Nestmakers,Jasper,Ames,27,C,45,40,50,45,45,50,35,60,50,,,,,,72,83,79,60,fundamentals,on_track,Optionable catcher with receiving value,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as optionable catcher with receiving value.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,AAA,Greensboro Nestmakers,Kai,Huxley,26,2B,45,40,50,45,40,45,50,65,45,,,,,,83,90,84,73,defense,on_track,Utility infielder / contact bench bat,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as utility infielder / contact bench bat.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,AAA,Greensboro Nestmakers,Leland,Ocampo,27,LF,45,40,50,45,55,50,40,50,45,,,,,,94,55,89,86,fundamentals,on_track,Left-handed bench outfield depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as left-handed bench outfield depth.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,AAA,Greensboro Nestmakers,Marco,Winslow,28,SP,45,40,50,20,20,20,20,30,50,50,45,65,50,45,66,62,45,62,stamina,on_track,Sixth-starter depth,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as sixth-starter depth.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,AA,Columbia Honeycombs,Nestor,Escobar,24,CL,40,35,55,20,20,20,25,30,45,50,40,30,50,50,77,69,50,75,breaking,on_track,Middle-relief shuttle candidate,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as middle-relief shuttle candidate.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,AA,Columbia Honeycombs,Otis,Lazaro,24,RF,40,35,55,40,50,45,35,45,40,,,,,,88,76,55,88,fundamentals,on_track,Fourth-outfielder depth,Bat-first profile with enough impact to matter if the approach holds; fundamentals can turn the tools into a role. Best used as fourth-outfielder depth.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,A_PLUS,Greenville Hivehands,Paolo,Toma,22,SS,35,25,55,35,30,35,40,55,35,,,,,,60,83,60,64,defense,on_track,Defense-first infield depth,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as defense-first infield depth.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,A,Concord Waxcombs,Ramon,Carden,21,SP,30,20,55,20,20,20,20,30,30,35,30,50,35,30,71,90,65,77,stamina,on_track,Developmental starter with strike-throwing base,Starter traits with enough pitch mix to stay in a rotation; workload growth is the main development goal. Best used as developmental starter with strike-throwing base.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,ROOKIE,Rock Hill Buzzlets,Samir,Jun,19,C,25,20,50,25,25,30,20,40,30,,,,,,82,55,70,90,fundamentals,on_track,Young catcher / staff-handling project,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as young catcher / staff-handling project.
,Depth / Role Player,cha,Charlotte Weavers,NL_EAST,INTERNATIONAL,San Juan Loom Academy,Tucker,Quill,18,SS,25,20,55,25,20,25,30,45,25,,,,,,93,62,75,66,defense,on_track,Academy middle-infield glove project,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as academy middle-infield glove project.
1,Top Prospect,orl,Orlando Sunbursts,NL_EAST,A_PLUS,Daytona Cloudbursts,Vito,Ybarra,21,SP,45,40,70,20,20,20,20,30,45,50,50,55,50,50,68,74,87,81,refinement,ahead_of_curve,Top ranked pitching prospect / rotation or leverage upside,"Starter traits with enough pitch mix to stay in a rotation; refinement should decide the role. Fits the org identity around power arms, thunderous but riskier bats, and a few true boom/bust profiles."
2,Top Prospect,orl,Orlando Sunbursts,NL_EAST,AA,Jacksonville Bolts,Weston,Farraday,23,C,45,40,65,45,45,45,35,65,50,,,,,,82,86,50,96,defense,on_track,Impact follow prospect / everyday or rotation path,"Catcher with staff-handling traits and a realistic defensive path; defense gives the profile a safer floor. Fits the org identity around power arms, thunderous but riskier bats, and a few true boom/bust profiles."
3,Top Prospect,orl,Orlando Sunbursts,NL_EAST,A_PLUS,Daytona Cloudbursts,Yahir,Mercado,21,CF,40,35,60,40,40,35,50,55,40,,,,,,96,56,62,74,tools,on_track,Scarcity-position prospect / above-average role path,"Up-the-middle athlete with defensive value and pressure-speed traits; tools are ahead of current baseball skill. Fits the org identity around power arms, thunderous but riskier bats, and a few true boom/bust profiles."
4,Top Prospect,orl,Orlando Sunbursts,NL_EAST,AA,Jacksonville Bolts,Zeke,Valen,22,RF,40,35,60,40,60,35,35,40,40,,,,,,71,68,74,89,power,on_track,Athletic regular upside,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as athletic regular upside.
5,Top Prospect,orl,Orlando Sunbursts,NL_EAST,AAA,Tampa Voltage,Alden,Dovek,25,RP,50,45,60,20,20,20,25,30,55,55,45,40,70,50,85,80,86,67,velocity,on_track,Near-ready relief or swingman option,Relief profile with one carrying pitch and room for command growth; velocity development drives the upside. Best used as near-ready relief or swingman option.
6,Top Prospect,orl,Orlando Sunbursts,NL_EAST,A_PLUS,Daytona Cloudbursts,Brody,Kepler,21,RF,35,25,60,35,55,30,30,35,35,,,,,,60,92,49,82,power,on_track,Power or corner-depth prospect,Bat-first profile with enough impact to matter if the approach holds; game power is the development focus. Best used as power or corner-depth prospect.
7,Top Prospect,orl,Orlando Sunbursts,NL_EAST,A,Lakeland Rumbles,Cade,Rivas,20,C,35,25,55,35,35,40,25,50,40,,,,,,74,62,61,60,fundamentals,on_track,Defense/speed development prospect,Catcher with staff-handling traits and a realistic defensive path; fundamentals can turn the tools into a role. Best used as defense/speed development prospect.
8,Top Prospect,orl,Orlando Sunbursts,NL_EAST,A,Lakeland Rumbles,Dante,Zavala,20,CL,30,20,60,20,20,20,25,30,30,40,30,20,40,40,88,74,73,75,breaking,on_track,Raw arm with starter traits,Late-inning arm with leverage temperament and swing-and-miss shape; breaking-ball quality is the carrying skill. Best used as raw arm with starter traits.
9,Top Prospect,orl,Orlando Sunbursts,NL_EAST,ROOKIE,Kissimmee Sparks,Ezra,Garnet,19,CF,30,20,60,30,25,30,35,50,30,,,,,,63,86,85,90,defense,bust_risk,Young bat with one loud carrying tool,Up-the-middle athlete with defensive value and pressure-speed traits; defense gives the profile a safer floor. Best used as young bat with one loud carrying tool.
